57610.0, {'1863241632': np.float32(0.0), '2330725114': np.float32(0.0), '243351999': np.float32(0.0), '243641585': np.float32(0.0), '243749571': np.float32(0.0), '30503246': np.float32(0.0), '30624898': np.float32(0.0), '32564122': np.float32(0.0), '89127267': np.float32(0.0), '89173763': np.float32(0.0), '89173808': np.float32(0.0), 'cluster_1427494838_273472399': np.float32(0.0), 'cluster_1757124350_1757124352': np.float32(0.0), 'cluster_1863241547_1863241548_1976170214': np.float32(0.0), 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': np.float32(0.0), 'gneJ143': np.float32(0.0), 'gneJ207': np.float32(0.0), 'gneJ208': np.float32(0.0), 'gneJ210': np.float32(0.0), 'gneJ255': np.float32(0.0), 'gneJ257': np.float32(0.0)}, {'1863241632': 0, '2330725114': 0, '243351999': 0, '243641585': 0, '243749571': 0, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 0, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 0, 'gneJ207': 0, 'gneJ208': 0, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, {'1863241632': 0, '2330725114': 0, '243351999': 0, '243641585': 0, '243749571': 0, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 0, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 0, 'gneJ207': 0, 'gneJ208': 0, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, 
57620.0, {'1863241632': np.float32(0.0), '2330725114': np.float32(0.0), '243351999': np.float32(0.0), '243641585': np.float32(0.0), '243749571': np.float32(0.0), '30503246': np.float32(0.0), '30624898': np.float32(0.0), '32564122': np.float32(0.0), '89127267': np.float32(0.0), '89173763': np.float32(0.0), '89173808': np.float32(0.0), 'cluster_1427494838_273472399': np.float32(-0.013392857), 'cluster_1757124350_1757124352': np.float32(0.0), 'cluster_1863241547_1863241548_1976170214': np.float32(0.0), 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': np.float32(0.0), 'gneJ143': np.float32(0.0), 'gneJ207': np.float32(0.0), 'gneJ208': np.float32(0.0), 'gneJ210': np.float32(0.0), 'gneJ255': np.float32(0.0), 'gneJ257': np.float32(0.0)}, {'1863241632': 0, '2330725114': 0, '243351999': 0, '243641585': 0, '243749571': 0, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 0, '89173808': 0, 'cluster_1427494838_273472399': 1, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 0, 'gneJ207': 0, 'gneJ208': 0, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, {'1863241632': 0, '2330725114': 0, '243351999': 0, '243641585': 0, '243749571': 0, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 0, '89173808': 0, 'cluster_1427494838_273472399': 1, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 0, 'gneJ207': 0, 'gneJ208': 0, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, 
57630.0, {'1863241632': np.float32(0.0), '2330725114': np.float32(0.0), '243351999': np.float32(0.0), '243641585': np.float32(0.0), '243749571': np.float32(-0.035714287), '30503246': np.float32(0.0), '30624898': np.float32(0.0), '32564122': np.float32(0.0), '89127267': np.float32(0.0), '89173763': np.float32(0.0), '89173808': np.float32(0.0), 'cluster_1427494838_273472399': np.float32(-0.125), 'cluster_1757124350_1757124352': np.float32(0.0), 'cluster_1863241547_1863241548_1976170214': np.float32(0.0), 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': np.float32(-0.004464286), 'gneJ143': np.float32(0.0), 'gneJ207': np.float32(0.0), 'gneJ208': np.float32(0.0), 'gneJ210': np.float32(0.0), 'gneJ255': np.float32(0.0), 'gneJ257': np.float32(0.0)}, {'1863241632': 0, '2330725114': 0, '243351999': 0, '243641585': 0, '243749571': 1, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 0, '89173808': 0, 'cluster_1427494838_273472399': 1, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 1, 'gneJ143': 0, 'gneJ207': 0, 'gneJ208': 0, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, {'1863241632': 0, '2330725114': 0, '243351999': 0, '243641585': 0, '243749571': 1, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 0, '89173808': 0, 'cluster_1427494838_273472399': 3, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 1, 'gneJ143': 0, 'gneJ207': 0, 'gneJ208': 0, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, 
57640.0, {'1863241632': np.float32(0.0), '2330725114': np.float32(-0.026785715), '243351999': np.float32(0.0), '243641585': np.float32(0.0), '243749571': np.float32(-0.08035714), '30503246': np.float32(0.0), '30624898': np.float32(0.0), '32564122': np.float32(0.0), '89127267': np.float32(0.0), '89173763': np.float32(0.0), '89173808': np.float32(0.0), 'cluster_1427494838_273472399': np.float32(-0.25892857), 'cluster_1757124350_1757124352': np.float32(0.0), 'cluster_1863241547_1863241548_1976170214': np.float32(0.0), 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': np.float32(0.0), 'gneJ143': np.float32(-0.026785715), 'gneJ207': np.float32(0.0), 'gneJ208': np.float32(0.0), 'gneJ210': np.float32(0.0), 'gneJ255': np.float32(0.0), 'gneJ257': np.float32(0.0)}, {'1863241632': 0, '2330725114': 2, '243351999': 0, '243641585': 0, '243749571': 1, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 0, '89173808': 0, 'cluster_1427494838_273472399': 1, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 2, 'gneJ207': 0, 'gneJ208': 0, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, {'1863241632': 0, '2330725114': 2, '243351999': 0, '243641585': 0, '243749571': 1, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 0, '89173808': 0, 'cluster_1427494838_273472399': 3, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 2, 'gneJ207': 0, 'gneJ208': 0, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, 
57650.0, {'1863241632': np.float32(0.0), '2330725114': np.float32(0.0), '243351999': np.float32(0.0), '243641585': np.float32(0.0), '243749571': np.float32(-0.125), '30503246': np.float32(0.0), '30624898': np.float32(0.0), '32564122': np.float32(0.0), '89127267': np.float32(0.0), '89173763': np.float32(0.0), '89173808': np.float32(0.0), 'cluster_1427494838_273472399': np.float32(0.0), 'cluster_1757124350_1757124352': np.float32(0.0), 'cluster_1863241547_1863241548_1976170214': np.float32(0.0), 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': np.float32(0.0), 'gneJ143': np.float32(-0.15625), 'gneJ207': np.float32(0.0), 'gneJ208': np.float32(0.0), 'gneJ210': np.float32(0.0), 'gneJ255': np.float32(0.0), 'gneJ257': np.float32(0.0)}, {'1863241632': 0, '2330725114': 0, '243351999': 0, '243641585': 0, '243749571': 1, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 0, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 3, 'gneJ207': 0, 'gneJ208': 0, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, {'1863241632': 0, '2330725114': 0, '243351999': 0, '243641585': 0, '243749571': 1, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 0, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 3, 'gneJ207': 0, 'gneJ208': 0, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, 
57660.0, {'1863241632': np.float32(0.0), '2330725114': np.float32(-0.004464286), '243351999': np.float32(0.0), '243641585': np.float32(0.0), '243749571': np.float32(-0.16964285), '30503246': np.float32(0.0), '30624898': np.float32(0.0), '32564122': np.float32(0.0), '89127267': np.float32(0.0), '89173763': np.float32(-0.03125), '89173808': np.float32(0.0), 'cluster_1427494838_273472399': np.float32(0.0), 'cluster_1757124350_1757124352': np.float32(0.0), 'cluster_1863241547_1863241548_1976170214': np.float32(0.0), 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': np.float32(0.0), 'gneJ143': np.float32(-0.3080357), 'gneJ207': np.float32(-0.04464286), 'gneJ208': np.float32(0.0), 'gneJ210': np.float32(0.0), 'gneJ255': np.float32(0.0), 'gneJ257': np.float32(0.0)}, {'1863241632': 0, '2330725114': 1, '243351999': 0, '243641585': 0, '243749571': 1, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 1, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 4, 'gneJ207': 2, 'gneJ208': 0, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, {'1863241632': 0, '2330725114': 1, '243351999': 0, '243641585': 0, '243749571': 1, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 1, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 4, 'gneJ207': 2, 'gneJ208': 0, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, 
57670.0, {'1863241632': np.float32(0.0), '2330725114': np.float32(-0.06696428), '243351999': np.float32(0.0), '243641585': np.float32(0.0), '243749571': np.float32(-0.21428572), '30503246': np.float32(0.0), '30624898': np.float32(0.0), '32564122': np.float32(0.0), '89127267': np.float32(0.0), '89173763': np.float32(-0.07589286), '89173808': np.float32(0.0), 'cluster_1427494838_273472399': np.float32(0.0), 'cluster_1757124350_1757124352': np.float32(0.0), 'cluster_1863241547_1863241548_1976170214': np.float32(0.0), 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': np.float32(0.0), 'gneJ143': np.float32(-0.19196428), 'gneJ207': np.float32(-0.13392857), 'gneJ208': np.float32(-0.02232143), 'gneJ210': np.float32(0.0), 'gneJ255': np.float32(0.0), 'gneJ257': np.float32(0.0)}, {'1863241632': 0, '2330725114': 1, '243351999': 0, '243641585': 0, '243749571': 1, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 1, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 2, 'gneJ207': 2, 'gneJ208': 2, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, {'1863241632': 0, '2330725114': 2, '243351999': 0, '243641585': 0, '243749571': 1, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 1, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 2, 'gneJ207': 2, 'gneJ208': 2, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, 
57680.0, {'1863241632': np.float32(0.0), '2330725114': np.float32(0.0), '243351999': np.float32(0.0), '243641585': np.float32(0.0), '243749571': np.float32(-0.2767857), '30503246': np.float32(0.0), '30624898': np.float32(0.0), '32564122': np.float32(0.0), '89127267': np.float32(-0.017857144), '89173763': np.float32(-0.12053572), '89173808': np.float32(0.0), 'cluster_1427494838_273472399': np.float32(0.0), 'cluster_1757124350_1757124352': np.float32(0.0), 'cluster_1863241547_1863241548_1976170214': np.float32(0.0), 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': np.float32(0.0), 'gneJ143': np.float32(0.0), 'gneJ207': np.float32(0.0), 'gneJ208': np.float32(-0.21875), 'gneJ210': np.float32(0.0), 'gneJ255': np.float32(0.0), 'gneJ257': np.float32(0.0)}, {'1863241632': 0, '2330725114': 0, '243351999': 0, '243641585': 0, '243749571': 2, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 1, '89173763': 1, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 0, 'gneJ207': 0, 'gneJ208': 5, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, {'1863241632': 0, '2330725114': 0, '243351999': 0, '243641585': 0, '243749571': 2, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 2, '89173763': 1, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 0, 'gneJ207': 0, 'gneJ208': 5, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, 
57690.0, {'1863241632': np.float32(0.0), '2330725114': np.float32(0.0), '243351999': np.float32(-0.026785715), '243641585': np.float32(0.0), '243749571': np.float32(-0.36607143), '30503246': np.float32(0.0), '30624898': np.float32(0.0), '32564122': np.float32(0.0), '89127267': np.float32(0.0), '89173763': np.float32(-0.23214285), '89173808': np.float32(0.0), 'cluster_1427494838_273472399': np.float32(0.0), 'cluster_1757124350_1757124352': np.float32(0.0), 'cluster_1863241547_1863241548_1976170214': np.float32(-0.017857144), 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': np.float32(0.0), 'gneJ143': np.float32(-0.08035714), 'gneJ207': np.float32(-0.102678575), 'gneJ208': np.float32(-0.17857143), 'gneJ210': np.float32(0.0), 'gneJ255': np.float32(0.0), 'gneJ257': np.float32(0.0)}, {'1863241632': 0, '2330725114': 0, '243351999': 1, '243641585': 0, '243749571': 2, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 4, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 1, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 3, 'gneJ207': 4, 'gneJ208': 2, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, {'1863241632': 0, '2330725114': 0, '243351999': 1, '243641585': 0, '243749571': 2, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 0, '89173763': 4, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 1, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 4, 'gneJ207': 4, 'gneJ208': 3, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, 
57700.0, {'1863241632': np.float32(0.0), '2330725114': np.float32(0.0), '243351999': np.float32(-0.14285715), '243641585': np.float32(0.0), '243749571': np.float32(-0.4955357), '30503246': np.float32(0.0), '30624898': np.float32(0.0), '32564122': np.float32(-0.026785715), '89127267': np.float32(0.0), '89173763': np.float32(-0.04910714), '89173808': np.float32(0.0), 'cluster_1427494838_273472399': np.float32(0.0), 'cluster_1757124350_1757124352': np.float32(0.0), 'cluster_1863241547_1863241548_1976170214': np.float32(0.0), 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': np.float32(0.0), 'gneJ143': np.float32(-0.058035713), 'gneJ207': np.float32(-0.102678575), 'gneJ208': np.float32(-0.2544643), 'gneJ210': np.float32(0.0), 'gneJ255': np.float32(-0.02232143), 'gneJ257': np.float32(0.0)}, {'1863241632': 0, '2330725114': 0, '243351999': 3, '243641585': 0, '243749571': 3, '30503246': 0, '30624898': 0, '32564122': 1, '89127267': 0, '89173763': 1, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 1, 'gneJ207': 3, 'gneJ208': 4, 'gneJ210': 0, 'gneJ255': 1, 'gneJ257': 0}, {'1863241632': 0, '2330725114': 0, '243351999': 3, '243641585': 0, '243749571': 4, '30503246': 0, '30624898': 0, '32564122': 1, '89127267': 0, '89173763': 1, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 1, 'gneJ207': 3, 'gneJ208': 4, 'gneJ210': 0, 'gneJ255': 1, 'gneJ257': 0}, 
57710.0, {'1863241632': np.float32(0.0), '2330725114': np.float32(0.0), '243351999': np.float32(-0.2767857), '243641585': np.float32(0.0), '243749571': np.float32(-0.017857144), '30503246': np.float32(0.0), '30624898': np.float32(0.0), '32564122': np.float32(0.0), '89127267': np.float32(-0.04017857), '89173763': np.float32(-0.13392857), '89173808': np.float32(0.0), 'cluster_1427494838_273472399': np.float32(0.0), 'cluster_1757124350_1757124352': np.float32(0.0), 'cluster_1863241547_1863241548_1976170214': np.float32(0.0), 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': np.float32(0.0), 'gneJ143': np.float32(-0.12946428), 'gneJ207': np.float32(-0.13392857), 'gneJ208': np.float32(-0.47767857), 'gneJ210': np.float32(0.0), 'gneJ255': np.float32(0.0), 'gneJ257': np.float32(0.0)}, {'1863241632': 0, '2330725114': 0, '243351999': 3, '243641585': 0, '243749571': 1, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 1, '89173763': 4, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 3, 'gneJ207': 2, 'gneJ208': 5, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, {'1863241632': 0, '2330725114': 0, '243351999': 3, '243641585': 0, '243749571': 2, '30503246': 0, '30624898': 0, '32564122': 0, '89127267': 1, '89173763': 4, '89173808': 0, 'cluster_1427494838_273472399': 0, 'cluster_1757124350_1757124352': 0, 'cluster_1863241547_1863241548_1976170214': 0, 'cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190': 0, 'gneJ143': 3, 'gneJ207': 2, 'gneJ208': 5, 'gneJ210': 0, 'gneJ255': 0, 'gneJ257': 0}, 
