57610.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': np.float32(-0.004464286)}, {'gneJ207': 1}, {'gneJ207': 1}, 
57630.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
57640.0, {'gneJ207': np.float32(-0.013392857)}, {'gneJ207': 1}, {'gneJ207': 1}, 
57650.0, {'gneJ207': np.float32(-0.20089285)}, {'gneJ207': 2}, {'gneJ207': 7}, 
57660.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
57670.0, {'gneJ207': np.float32(-0.15178572)}, {'gneJ207': 5}, {'gneJ207': 8}, 
57680.0, {'gneJ207': np.float32(-0.16071428)}, {'gneJ207': 3}, {'gneJ207': 3}, 
57690.0, {'gneJ207': np.float32(-0.026785715)}, {'gneJ207': 1}, {'gneJ207': 3}, 
57700.0, {'gneJ207': np.float32(-0.20982143)}, {'gneJ207': 2}, {'gneJ207': 6}, 
57710.0, {'gneJ207': np.float32(-0.47767857)}, {'gneJ207': 2}, {'gneJ207': 6}, 
57720.0, {'gneJ207': np.float32(-0.78571427)}, {'gneJ207': 3}, {'gneJ207': 8}, 
57730.0, {'gneJ207': np.float32(-1.15625)}, {'gneJ207': 4}, {'gneJ207': 10}, 
57740.0, {'gneJ207': np.float32(-1.59375)}, {'gneJ207': 4}, {'gneJ207': 11}, 
57750.0, {'gneJ207': np.float32(-2.1294644)}, {'gneJ207': 5}, {'gneJ207': 13}, 
57760.0, {'gneJ207': np.float32(-0.64285713)}, {'gneJ207': 2}, {'gneJ207': 5}, 
57770.0, {'gneJ207': np.float32(-0.45535713)}, {'gneJ207': 5}, {'gneJ207': 6}, 
57780.0, {'gneJ207': np.float32(-0.66964287)}, {'gneJ207': 8}, {'gneJ207': 9}, 
57790.0, {'gneJ207': np.float32(-0.5089286)}, {'gneJ207': 8}, {'gneJ207': 9}, 
57800.0, {'gneJ207': np.float32(-0.64285713)}, {'gneJ207': 6}, {'gneJ207': 8}, 
57810.0, {'gneJ207': np.float32(-1.03125)}, {'gneJ207': 7}, {'gneJ207': 9}, 
57820.0, {'gneJ207': np.float32(-1.4776785)}, {'gneJ207': 10}, {'gneJ207': 13}, 
57830.0, {'gneJ207': np.float32(-1.2991072)}, {'gneJ207': 9}, {'gneJ207': 9}, 
57840.0, {'gneJ207': np.float32(-1.71875)}, {'gneJ207': 9}, {'gneJ207': 11}, 
57850.0, {'gneJ207': np.float32(-1.3258928)}, {'gneJ207': 8}, {'gneJ207': 12}, 
57860.0, {'gneJ207': np.float32(-0.84821427)}, {'gneJ207': 6}, {'gneJ207': 6}, 
57870.0, {'gneJ207': np.float32(-0.6785714)}, {'gneJ207': 4}, {'gneJ207': 6}, 
57880.0, {'gneJ207': np.float32(-0.5535714)}, {'gneJ207': 3}, {'gneJ207': 3}, 
57890.0, {'gneJ207': np.float32(-0.73214287)}, {'gneJ207': 6}, {'gneJ207': 6}, 
57900.0, {'gneJ207': np.float32(-0.17857143)}, {'gneJ207': 3}, {'gneJ207': 3}, 
57910.0, {'gneJ207': np.float32(-0.09821428)}, {'gneJ207': 1}, {'gneJ207': 1}, 
57920.0, {'gneJ207': np.float32(-0.058035713)}, {'gneJ207': 1}, {'gneJ207': 3}, 
57930.0, {'gneJ207': np.float32(-0.17857143)}, {'gneJ207': 2}, {'gneJ207': 3}, 
57940.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
57950.0, {'gneJ207': np.float32(-0.04017857)}, {'gneJ207': 1}, {'gneJ207': 1}, 
57960.0, {'gneJ207': np.float32(-0.08928572)}, {'gneJ207': 1}, {'gneJ207': 2}, 
57970.0, {'gneJ207': np.float32(-0.05357143)}, {'gneJ207': 1}, {'gneJ207': 2}, 
57980.0, {'gneJ207': np.float32(-0.15178572)}, {'gneJ207': 2}, {'gneJ207': 3}, 
57990.0, {'gneJ207': np.float32(-0.02232143)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58000.0, {'gneJ207': np.float32(-0.06696428)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58010.0, {'gneJ207': np.float32(-0.02232143)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58020.0, {'gneJ207': np.float32(-0.08928572)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58030.0, {'gneJ207': np.float32(-0.19196428)}, {'gneJ207': 2}, {'gneJ207': 4}, 
58040.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58050.0, {'gneJ207': np.float32(-0.03125)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58060.0, {'gneJ207': np.float32(-0.07589286)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58070.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58080.0, {'gneJ207': np.float32(-0.04910714)}, {'gneJ207': 1}, {'gneJ207': 3}, 
58090.0, {'gneJ207': np.float32(-0.09375)}, {'gneJ207': 2}, {'gneJ207': 2}, 
58100.0, {'gneJ207': np.float32(-0.18303572)}, {'gneJ207': 2}, {'gneJ207': 2}, 
58110.0, {'gneJ207': np.float32(-0.27232143)}, {'gneJ207': 2}, {'gneJ207': 2}, 
58120.0, {'gneJ207': np.float32(-0.36160713)}, {'gneJ207': 2}, {'gneJ207': 2}, 
58130.0, {'gneJ207': np.float32(-0.45089287)}, {'gneJ207': 2}, {'gneJ207': 2}, 
58140.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58150.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58160.0, {'gneJ207': np.float32(-0.004464286)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58170.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58180.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58190.0, {'gneJ207': np.float32(-0.06696428)}, {'gneJ207': 2}, {'gneJ207': 4}, 
58200.0, {'gneJ207': np.float32(0.0)}, {'gneJ207': 0}, {'gneJ207': 0}, 
58210.0, {'gneJ207': np.float32(-0.02232143)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58220.0, {'gneJ207': np.float32(-0.017857144)}, {'gneJ207': 1}, {'gneJ207': 1}, 
58230.0, {'gneJ207': np.float32(-0.102678575)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58240.0, {'gneJ207': np.float32(-0.12053572)}, {'gneJ207': 1}, {'gneJ207': 2}, 
58250.0, {'gneJ207': np.float32(-0.3080357)}, {'gneJ207': 3}, {'gneJ207': 8}, 
58260.0, {'gneJ207': np.float32(-0.78571427)}, {'gneJ207': 4}, {'gneJ207': 13}, 
58270.0, {'gneJ207': np.float32(-0.9464286)}, {'gneJ207': 4}, {'gneJ207': 11}, 
58280.0, {'gneJ207': np.float32(-0.9598214)}, {'gneJ207': 4}, {'gneJ207': 8}, 
